,Address,Symbol,DateTime,Bought,BoughtOnDatetime
0,0x9dbad6145cf9611c7dd0cf8fe95ed27d8854c996,RFP,2022-03-12 10:57:03+00:00,,
1,0xfc04e4866f2427e7ffa76d7597c6b2d4b6c68f5f,Mecha Inu,2022-03-12 10:57:03+00:00,,
2,0xcd341f1eca8c071a5cdbda838068e5af94697789,pimars,2022-03-12 10:57:03+00:00,,
3,0x94E5Fc306cf81a1b108B4155bb004525BA578cF8,CHSWAP,2022-03-12 11:00:03+00:00,,
4,0xD5A19261409A38Fa2249226a7E096cc426178252,CFG,2022-03-12 11:00:03+00:00,,
5,0x0890D6966FDaF37706B3b4D11F1ED4DABcCEA509,SUICIDAL MAN,2022-03-12 11:00:03+00:00,,
6,0xab5C7e9DC5F377E338671C812b898d2A879f2397,$AKITAS,2022-03-12 11:00:03+00:00,,
7,0x920c445D9961fafB00f87729d7C1c7Ee1a136174,SPY,2022-03-12 11:00:03+00:00,,
8,0x1F5591D06F8d537f43B5c4348727f54fBa4140E2,fuk,2022-03-12 11:00:03+00:00,,
9,0x14137Be5bfed2da3BD0E3f6E90C13cE0C224012F,FIFA,2022-03-12 11:00:03+00:00,,
10,0x83bcc940b65380bb2D3020429Be2527A205D50Cb,SweatyBalls,2022-03-12 11:00:03+00:00,,
11,0xe423F564AEdc01b2712100BCA6189D8B6ACdEEaD,XKI,2022-03-12 11:00:03+00:00,,
12,0x0E0a32b99A626649945777150439851dE38f3cb0,TOPSHOT,2022-03-12 11:00:03+00:00,,
13,0x49bC7BFa275A34A4BbF64d8E526846F7ea59B243,CakeSwap,2022-03-12 11:00:03+00:00,,
14,0x8Edcd2BA1a4DbF7d2d4d5E060B4823D068Ab3331,BSCBULL,2022-03-12 11:00:03+00:00,,
15,0x22f66c2D29269b0A902677a34c85E6E3A845AD8C,MAPLE,2022-03-12 11:00:03+00:00,,
16,0x4d0864774F74843F993d009a012B588DcE5e10c2,SPA,2022-03-12 11:00:03+00:00,,
17,0xD0575b3dA41D9C99DE76D06C7A94F0C7F6824455,FATSHIB,2022-03-12 11:00:03+00:00,,
18,0x90b5Cc47cfFEFfdDD3bC76c06513Cf8936Fa6067,MNM,2022-03-12 11:00:03+00:00,,
19,0x7c60abe88e1bc4bde5f39ff48ad7dab851e8faef,K400,2022-03-12 11:00:06+00:00,,
20,0x2346c8c21467201d35754fc6401bec683e7f5547,BE,2022-03-12 11:00:07+00:00,,
21,0x252c36f9fc081a42cb3ace09ea6449389d93af56,SmallYellowDuck,2022-03-12 11:00:07+00:00,,
22,0x18799150b0316ba634df64b9ce3f96921198a6f4,PHC,2022-03-12 11:03:03+00:00,,
23,0x808a663b996484503cbc6fdc05e091cd38945a83,ARCEUS,2022-03-12 11:03:03+00:00,,
24,0xf1cf9654236b892eebc8cda753698c9b75a63c49,BIRDY,2022-03-12 11:06:02+00:00,,
25,0x799eea7d4fce95be77a6536e31caebb45ce6e04d,BNEKO,2022-03-12 11:06:03+00:00,,
26,0x97f525111512b3b5a2bac52035e576a36d3862dd,GREEN,2022-03-12 11:06:03+00:00,,
27,0x4D9E85d029912bD79c9bf2139D18904a92Cb48Bb,BEVO,2022-03-12 11:09:01+00:00,,
28,0x51561006A7902c0269fDfBC7c6F2Ca11a973494b,MOONNOW,2022-03-12 11:09:01+00:00,,
29,0x8A79b5a3469E640B305aEb5Fae9A08B8dE3401db,🎎Barbie,2022-03-12 11:09:01+00:00,,
30,0x3047e708Ef5EC2fb07071Af5520fB611DBDD12D1,CHUPAPI,2022-03-12 11:09:01+00:00,,
31,0x42d485C7195Fc584f09c86b01a5Cb867f7B9fE81,DPLH,2022-03-12 11:09:01+00:00,,
32,0x1322F1a48c454A773c130b566Cc1628daCfB4D1F,STARTER,2022-03-12 11:09:01+00:00,,
33,0xb7bAfC4F22e83c319Fa6D7325A269EC7EE7114a2,🔥MOONBURN,2022-03-12 11:09:01+00:00,,
34,0xa5ab17b06fc4fdBc801E1cD8C8530bf7579eAd59,TMD,2022-03-12 11:09:01+00:00,,
35,0x5641ccE1D02659D700c53852b8035014C5bdB909,MAD,2022-03-12 11:09:01+00:00,,
36,0x432dD77ec0264Ef6d5a062f104783b27713495aA,EURC,2022-03-12 11:09:01+00:00,,
37,0x8dAF93090fb4bF1Af87265011512c7d15338B3a9,OOPS,2022-03-12 11:09:01+00:00,,
38,0xdAc0aE54368031ebE4b8a9C6A803aa0912Fd83bE,RSHIBA,2022-03-12 11:09:01+00:00,,
39,0x89E9AD03c3bB8f8f3099514D351FC4D7Ce47aC7D,GGEZ,2022-03-12 11:09:01+00:00,,
40,0x469e17dC6Ad52f4b93ADF2dD213E3152f1B7244f,LUTH,2022-03-12 11:09:01+00:00,,
41,0xaa75b082399e4f7f479877b8956a33c31135016e,Rayquaza,2022-03-12 11:09:02+00:00,,
